symbol,exchange,organ_name,en_organ_name,type,id,short_name,sector1_vn,sector2_vn,sector3_vn,sector1_en,sector2_en,sector3_en,listing_shares,source,vietstock_profile_url,vietstock_financial_url
VIT,HNX,CTCP Viglacera Tiên Sơn,Viglacera Tien Son Joint Stock Company,STOCK,531.0,Viglacera Tiên Sơn,Nguyên vật liệu,Nguyên vật liệu,Vật liệu xây dựng,Materials,Materials,Construction Materials,50000000,EXPANDED,https://finance.vietstock.vn/VIT/ho-so-doanh-nghiep.htm,https://finance.vietstock.vn/VIT/tai-chinh.htm?tab=BCTT
VRC,HOSE,CTCP Bất động sản và Đầu tư VRC,VRC Real Estate and Investment JSC,STOCK,532.0,Bất động sản và Đầu tư VRC,Bất động sản,Bất động sản,Quản lý và phát triển bất động sản,Real Estate,Real Estate,Real Estate Management & Development,50000000,EXPANDED,https://finance.vietstock.vn/VRC/ho-so-doanh-nghiep.htm,https://finance.vietstock.vn/VRC/tai-chinh.htm?tab=BCTT
SBG,HOSE,CTCP Tập đoàn Cơ khí Công nghệ cao Siba,Siba High-Tech Mechanical Group Joint Stock Company,STOCK,533.0,Cơ khí Công nghệ cao Siba,Công nghiệp,Hàng hóa công nghiệp,Máy móc công nghiệp,Industrials,Capital Goods,Machinery,49999963,EXPANDED,https://finance.vietstock.vn/SBG/ho-so-doanh-nghiep.htm,https://finance.vietstock.vn/SBG/tai-chinh.htm?tab=BCTT
PMW,UPCOM,CTCP Cấp nước Phú Mỹ,Phu My Water Supply Joint Stock Company,STOCK,534.0,Cấp nước Phú Mỹ,Tiện ích,Tiện ích,Nước,Utilities,Utilities,Water Utilities,49999832,EXPANDED,https://finance.vietstock.vn/PMW/ho-so-doanh-nghiep.htm,https://finance.vietstock.vn/PMW/tai-chinh.htm?tab=BCTT
ND2,UPCOM,CTCP Đầu tư và Phát triển Điện Miền Bắc 2,Northern Electricity Development & Investment JSC No.2,STOCK,535.0,Đầu tư và Phát triển Điện Miền Bắc 2,Tiện ích,Tiện ích,Phát điện độc lập và điện tái tạo,Utilities,Utilities,Independent Power and Renewable Electricity Producers,49993960,EXPANDED,https://finance.vietstock.vn/ND2/ho-so-doanh-nghiep.htm,https://finance.vietstock.vn/ND2/tai-chinh.htm?tab=BCTT
TNA,UPCOM,CTCP Thương mại Xuất nhập khẩu Thiên Nam,Thien Nam Trading Import Export JSC,STOCK,536.0,Thương mại Xuất nhập khẩu Thiên Nam,Tiêu dùng không thiết yếu,Thương mại hàng không thiết yếu,Nhà phân phối,Consumer Discretionary,Consumer Discre. Dist. & Retail,Distributors,49576264,EXPANDED,https://finance.vietstock.vn/TNA/ho-so-doanh-nghiep.htm,https://finance.vietstock.vn/TNA/tai-chinh.htm?tab=BCTT
KVC,UPCOM,CTCP Sản xuất Xuất nhập khẩu Inox Kim Vĩ,Kim Vi Inox Import Export Prodution Joint Stock Company,STOCK,537.0,Sản xuất Xuất nhập khẩu Inox Kim Vĩ,Nguyên vật liệu,Nguyên vật liệu,Khai khoáng và luyện kim,Materials,Materials,Metals & Mining,49500000,EXPANDED,https://finance.vietstock.vn/KVC/ho-so-doanh-nghiep.htm,https://finance.vietstock.vn/KVC/tai-chinh.htm?tab=BCTT
RDP,UPCOM,CTCP Rạng Đông Holding,Rang Dong Holding Plastic JSC,STOCK,538.0,Rạng Đông Holding,Nguyên vật liệu,Nguyên vật liệu,Bao bì và vật chứa,Materials,Materials,Containers & Packaging,49069803,EXPANDED,https://finance.vietstock.vn/RDP/ho-so-doanh-nghiep.htm,https://finance.vietstock.vn/RDP/tai-chinh.htm?tab=BCTT
NHA,HOSE,Tổng Công ty Đầu tư Phát triển Nhà và Đô thị Nam Hà Nội,Ha Noi South Housing and Urban Development Corporation,STOCK,539.0,Đầu tư Phát triển Nhà và Đô thị Nam Hà Nội,Bất động sản,Bất động sản,Quản lý và phát triển bất động sản,Real Estate,Real Estate,Real Estate Management & Development,48591709,EXPANDED,https://finance.vietstock.vn/NHA/ho-so-doanh-nghiep.htm,https://finance.vietstock.vn/NHA/tai-chinh.htm?tab=BCTT
PPI,UPCOM,CTCP Đầu tư và Phát triển Dự án Hạ tầng Thái Bình Dương,Pacific Infrastructure Project Development & Investment Corporation,STOCK,540.0,Đầu tư và Phát triển Dự án Hạ tầng Thái Bình Dương,Bất động sản,Bất động sản,Quản lý và phát triển bất động sản,Real Estate,Real Estate,Real Estate Management & Development,48290629,EXPANDED,https://finance.vietstock.vn/PPI/ho-so-doanh-nghiep.htm,https://finance.vietstock.vn/PPI/tai-chinh.htm?tab=BCTT
VAV,UPCOM,CTCP VIWACO,VIWACO Joint Stock Company,STOCK,541.0,VIWACO,Tiện ích,Tiện ích,Nước,Utilities,Utilities,Water Utilities,47999995,EXPANDED,https://finance.vietstock.vn/VAV/ho-so-doanh-nghiep.htm,https://finance.vietstock.vn/VAV/tai-chinh.htm?tab=BCTT
SFG,HOSE,CTCP Phân Bón Miền Nam,The Southern Fertilizer JSC,STOCK,542.0,Phân Bón Miền Nam,Nguyên vật liệu,Nguyên vật liệu,Hóa chất,Materials,Materials,Chemicals,47897333,EXPANDED,https://finance.vietstock.vn/SFG/ho-so-doanh-nghiep.htm,https://finance.vietstock.vn/SFG/tai-chinh.htm?tab=BCTT
GHC,UPCOM,CTCP Thủy điện Gia Lai,Gia Lai Hydropower JSC,STOCK,543.0,Thủy điện Gia Lai,Tiện ích,Tiện ích,Phát điện độc lập và điện tái tạo,Utilities,Utilities,Independent Power and Renewable Electricity Producers,47662500,EXPANDED,https://finance.vietstock.vn/GHC/ho-so-doanh-nghiep.htm,https://finance.vietstock.vn/GHC/tai-chinh.htm?tab=BCTT
DSD,UPCOM,CTCP DHC Suối Đôi,DHC Suoi Doi Corporation,STOCK,544.0,DHC Suối Đôi,Tiêu dùng không thiết yếu,Dịch vụ tiêu dùng,"Khách sạn, nhà hàng và giải trí",Consumer Discretionary,Consumer Services,"Hotels, Restaurants & Leisure",47100000,EXPANDED,https://finance.vietstock.vn/DSD/ho-so-doanh-nghiep.htm,https://finance.vietstock.vn/DSD/tai-chinh.htm?tab=BCTT
VLB,UPCOM,CTCP Xây dựng và Sản xuất Vật liệu xây dựng Biên Hòa,Bien Hoa Building Materials Production and Construction JSC,STOCK,545.0,Xây dựng và Sản xuất Vật liệu xây dựng Biên Hòa,Nguyên vật liệu,Nguyên vật liệu,Vật liệu xây dựng,Materials,Materials,Construction Materials,46921600,EXPANDED,https://finance.vietstock.vn/VLB/ho-so-doanh-nghiep.htm,https://finance.vietstock.vn/VLB/tai-chinh.htm?tab=BCTT
PMG,HOSE,CTCP Đầu tư và Sản xuất Petro Miền Trung,Petro Center Corporation,STOCK,546.0,Đầu tư và Sản xuất Petro Miền Trung,Tiện ích,Tiện ích,Gas sinh hoạt,Utilities,Utilities,Gas Utilities,46336278,EXPANDED,https://finance.vietstock.vn/PMG/ho-so-doanh-nghiep.htm,https://finance.vietstock.vn/PMG/tai-chinh.htm?tab=BCTT
FCM,HOSE,CTCP Bê tông Phan Vũ Hà Nam,Phan Vu Ha Nam Concrete Joint Stock Company,STOCK,547.0,Bê tông Phan Vũ Hà Nam,Nguyên vật liệu,Nguyên vật liệu,Vật liệu xây dựng,Materials,Materials,Construction Materials,46226626,EXPANDED,https://finance.vietstock.vn/FCM/ho-so-doanh-nghiep.htm,https://finance.vietstock.vn/FCM/tai-chinh.htm?tab=BCTT
L18,HNX,CTCP Đầu tư và Xây dựng Số 18,Investment And Construction JSC No.18,STOCK,548.0,Đầu tư và Xây dựng Số 18,Công nghiệp,Hàng hóa công nghiệp,Kỹ thuật xây dựng,Industrials,Capital Goods,Construction & Engineering,45739793,EXPANDED,https://finance.vietstock.vn/L18/ho-so-doanh-nghiep.htm,https://finance.vietstock.vn/L18/tai-chinh.htm?tab=BCTT
EIN,UPCOM,CTCP Đầu tư - Thương mại - Dịch vụ Điện Lực,Electricity Investment - Service - Trade Joint Stock Company,STOCK,549.0,Đầu tư - Thương mại - Dịch vụ Điện Lực,Tiêu dùng không thiết yếu,Dịch vụ tiêu dùng,"Khách sạn, nhà hàng và giải trí",Consumer Discretionary,Consumer Services,"Hotels, Restaurants & Leisure",45407161,EXPANDED,https://finance.vietstock.vn/EIN/ho-so-doanh-nghiep.htm,https://finance.vietstock.vn/EIN/tai-chinh.htm?tab=BCTT
VIG,HNX,CTCP Chứng khoán Đầu tư tài chính Việt Nam,Viet Nam Financial Investment Securities Corporation,STOCK,550.0,Chứng khoán Đầu tư tài chính Việt Nam,Tài chính,Dịch vụ tài chính,Thị trường vốn,Financials,Financial Services,Capital Markets,45133300,EXPANDED,https://finance.vietstock.vn/VIG/ho-so-doanh-nghiep.htm,https://finance.vietstock.vn/VIG/tai-chinh.htm?tab=BCTT
SBM,UPCOM,CTCP Đầu tư Phát triển Bắc Minh,Bac Minh Development Investment Joint Stock Company,STOCK,551.0,Đầu tư Phát triển Bắc Minh,Tiện ích,Tiện ích,Phát điện độc lập và điện tái tạo,Utilities,Utilities,Independent Power and Renewable Electricity Producers,45044953,EXPANDED,https://finance.vietstock.vn/SBM/ho-so-doanh-nghiep.htm,https://finance.vietstock.vn/SBM/tai-chinh.htm?tab=BCTT
AST,HOSE,CTCP Dịch vụ Hàng không Taseco,Taseco Air Services JSC,STOCK,552.0,Dịch vụ Hàng không Taseco,Công nghiệp,Vận tải,Vận tải và logistics hàng không,Industrials,Transportation,Air Freight & Logistics,45000000,EXPANDED,https://finance.vietstock.vn/AST/ho-so-doanh-nghiep.htm,https://finance.vietstock.vn/AST/tai-chinh.htm?tab=BCTT
BSL,UPCOM,CTCP Bia Sài Gòn - Sông Lam,SaiGon-SongLam Beer Joint Stock Company,STOCK,553.0,Bia Sài Gòn - Sông Lam,Tiêu dùng thiết yếu,"Thực phẩm, đồ uống và thuốc lá",Đồ uống,Consumer Staples,"Food, Bev. & Tobacco",Beverages,45000000,EXPANDED,https://finance.vietstock.vn/BSL/ho-so-doanh-nghiep.htm,https://finance.vietstock.vn/BSL/tai-chinh.htm?tab=BCTT
BSQ,UPCOM,CTCP Bia Sài Gòn - Quảng Ngãi,Sai Gon - Quang Ngai Beer JSC,STOCK,554.0,Bia Sài Gòn - Quảng Ngãi,Tiêu dùng thiết yếu,"Thực phẩm, đồ uống và thuốc lá",Đồ uống,Consumer Staples,"Food, Bev. & Tobacco",Beverages,45000000,EXPANDED,https://finance.vietstock.vn/BSQ/ho-so-doanh-nghiep.htm,https://finance.vietstock.vn/BSQ/tai-chinh.htm?tab=BCTT
ISH,UPCOM,CTCP Thủy điện Srok Phu Miêng IDICO,Idico Scrok Phu Mieng Hydro Power Joint Stock Company,STOCK,555.0,Thủy điện Srok Phu Miêng IDICO,Tiện ích,Tiện ích,Phát điện độc lập và điện tái tạo,Utilities,Utilities,Independent Power and Renewable Electricity Producers,45000000,EXPANDED,https://finance.vietstock.vn/ISH/ho-so-doanh-nghiep.htm,https://finance.vietstock.vn/ISH/tai-chinh.htm?tab=BCTT
RYG,HOSE,CTCP Sản xuất và Đầu tư Hoàng Gia,Royal Manufacture and Investment Joint Stock Company,STOCK,556.0,Sản xuất và Đầu tư Hoàng Gia,Nguyên vật liệu,Nguyên vật liệu,Vật liệu xây dựng,Materials,Materials,Construction Materials,45000000,EXPANDED,https://finance.vietstock.vn/RYG/ho-so-doanh-nghiep.htm,https://finance.vietstock.vn/RYG/tai-chinh.htm?tab=BCTT
TPP,HNX,CTCP Tân Phú Việt Nam,Tan Phu Viet Nam Joint Stock Company,STOCK,557.0,Tân Phú Việt Nam,Nguyên vật liệu,Nguyên vật liệu,Bao bì và vật chứa,Materials,Materials,Containers & Packaging,45000000,EXPANDED,https://finance.vietstock.vn/TPP/ho-so-doanh-nghiep.htm,https://finance.vietstock.vn/TPP/tai-chinh.htm?tab=BCTT
TVD,HNX,CTCP Than Vàng Danh - Vinacomin,Vinacomin - Vang Danh Coal JSC,STOCK,558.0,Than Vàng Danh - Vinacomin,Năng lượng,Năng lượng,Dầu khí,Energy,Energy,"Oil, Gas & Consumable Fuels",44962864,EXPANDED,https://finance.vietstock.vn/TVD/ho-so-doanh-nghiep.htm,https://finance.vietstock.vn/TVD/tai-chinh.htm?tab=BCTT
VGG,UPCOM,Tổng Công ty cổ phần May Việt Tiến,Viet Tien Garment Corporation,STOCK,559.0,May Việt Tiến,Tiêu dùng không thiết yếu,Thời trang và hàng lâu bền,Thời trang và dệt may,Consumer Discretionary,Consumer Durables & Apparel,"Textiles, Apparel & Luxury Goods",44100000,EXPANDED,https://finance.vietstock.vn/VGG/ho-so-doanh-nghiep.htm,https://finance.vietstock.vn/VGG/tai-chinh.htm?tab=BCTT
VEC,UPCOM,Tổng Công ty cổ phần Điện tử và Tin học Việt Nam,Vietnam Electronics and Informatics Joint Stock Corporation,STOCK,560.0,Điện tử và Tin học Việt Nam,Công nghệ thông tin,Phần cứng và thiết bị,Điện tử,Information Technology,Hardware,"Electronic Equipment, Instruments & Components",43800000,EXPANDED,https://finance.vietstock.vn/VEC/ho-so-doanh-nghiep.htm,https://finance.vietstock.vn/VEC/tai-chinh.htm?tab=BCTT
GTT,UPCOM,CTCP Thuận Thảo,Thuan Thao Corporation,STOCK,561.0,Thuận Thảo,Tiêu dùng không thiết yếu,Dịch vụ tiêu dùng,"Khách sạn, nhà hàng và giải trí",Consumer Discretionary,Consumer Services,"Hotels, Restaurants & Leisure",43503000,EXPANDED,https://finance.vietstock.vn/GTT/ho-so-doanh-nghiep.htm,https://finance.vietstock.vn/GTT/tai-chinh.htm?tab=BCTT
MHC,HOSE,CTCP MHC,MHC Joint Stock Company,STOCK,562.0,MHC,Công nghiệp,Vận tải,Vận tải biển,Industrials,Transportation,Marine Transportation,43476318,EXPANDED,https://finance.vietstock.vn/MHC/ho-so-doanh-nghiep.htm,https://finance.vietstock.vn/MHC/tai-chinh.htm?tab=BCTT
SJ1,HNX,CTCP Nông nghiệp Hùng Hậu,Hung Hau Agricultural Corporation,STOCK,563.0,Nông nghiệp Hùng Hậu,Tiêu dùng thiết yếu,"Thực phẩm, đồ uống và thuốc lá",Thực phẩm,Consumer Staples,"Food, Bev. & Tobacco",Food Products,43472716,EXPANDED,https://finance.vietstock.vn/SJ1/ho-so-doanh-nghiep.htm,https://finance.vietstock.vn/SJ1/tai-chinh.htm?tab=BCTT
AVF,UPCOM,CTCP Việt An,AnViFish Joint Stock Company,STOCK,564.0,Việt An,Tiêu dùng thiết yếu,"Thực phẩm, đồ uống và thuốc lá",Thực phẩm,Consumer Staples,"Food, Bev. & Tobacco",Food Products,43338000,EXPANDED,https://finance.vietstock.vn/AVF/ho-so-doanh-nghiep.htm,https://finance.vietstock.vn/AVF/tai-chinh.htm?tab=BCTT
SRA,HNX,CTCP Sara Việt Nam,Sara Vietnam JSC,STOCK,565.0,Sara Việt Nam,Chăm sóc sức khỏe,Thiết bị và dịch vụ chăm sóc sức khỏe,Thiết bị và vật tư chăm sóc sức khỏe,Health Care,Health Care Equip. & Services,Health Care Equipment & Supplies,43199974,EXPANDED,https://finance.vietstock.vn/SRA/ho-so-doanh-nghiep.htm,https://finance.vietstock.vn/SRA/tai-chinh.htm?tab=BCTT
CBI,UPCOM,CTCP Gang thép Cao Bằng,Cao Bang Cast Iron And Steel Joint Stock Company,STOCK,566.0,Gang thép Cao Bằng,Nguyên vật liệu,Nguyên vật liệu,Khai khoáng và luyện kim,Materials,Materials,Metals & Mining,43006366,EXPANDED,https://finance.vietstock.vn/CBI/ho-so-doanh-nghiep.htm,https://finance.vietstock.vn/CBI/tai-chinh.htm?tab=BCTT
DCF,UPCOM,CTCP Xây dựng và Thiết kế Số 1,Design And Construction Joint Stock Company No.1,STOCK,567.0,Xây dựng và Thiết kế Số 1,Công nghiệp,Hàng hóa công nghiệp,Kỹ thuật xây dựng,Industrials,Capital Goods,Construction & Engineering,42998891,EXPANDED,https://finance.vietstock.vn/DCF/ho-so-doanh-nghiep.htm,https://finance.vietstock.vn/DCF/tai-chinh.htm?tab=BCTT
CST,HNX,CTCP Than Cao Sơn - TKV,Cao Son Coal JSC,STOCK,568.0,Than Cao Sơn - TKV,Năng lượng,Năng lượng,Dầu khí,Energy,Energy,"Oil, Gas & Consumable Fuels",42846773,EXPANDED,https://finance.vietstock.vn/CST/ho-so-doanh-nghiep.htm,https://finance.vietstock.vn/CST/tai-chinh.htm?tab=BCTT
DVM,HNX,CTCP Dược liệu Việt Nam,Vietnam Medicinal Materials Joint Stock Company,STOCK,569.0,Dược liệu Việt Nam,Chăm sóc sức khỏe,"Dược phẩm, công nghệ sinh học và khoa học sự sống",Dược phẩm,Health Care,"Pharma., Bio. & Life Sciences",Pharmaceuticals,42779916,EXPANDED,https://finance.vietstock.vn/DVM/ho-so-doanh-nghiep.htm,https://finance.vietstock.vn/DVM/tai-chinh.htm?tab=BCTT
SDT,UPCOM,CTCP Sông Đà 10,Song Da No 10 JSC,STOCK,570.0,Sông Đà 10,Công nghiệp,Hàng hóa công nghiệp,Kỹ thuật xây dựng,Industrials,Capital Goods,Construction & Engineering,42732311,EXPANDED,https://finance.vietstock.vn/SDT/ho-so-doanh-nghiep.htm,https://finance.vietstock.vn/SDT/tai-chinh.htm?tab=BCTT
UNI,HNX,CTCP Đầu Tư Và Phát Triển Sao Mai Việt,Sao Mai Viet Investment And Development Joint Stock Company,STOCK,571.0,Đầu Tư Và Phát Triển Sao Mai Việt,Bất động sản,Bất động sản,Dịch vụ bất động sản,Real Estate,Real Estate,Real Estate Services,42617632,EXPANDED,https://finance.vietstock.vn/UNI/ho-so-doanh-nghiep.htm,https://finance.vietstock.vn/UNI/tai-chinh.htm?tab=BCTT
S4A,HOSE,CTCP Thủy điện Sê San 4A,Se San 4A Hydro Power JSC,STOCK,572.0,Thủy điện Sê San 4A,Tiện ích,Tiện ích,Điện,Utilities,Utilities,Electric Utilities,42200000,EXPANDED,https://finance.vietstock.vn/S4A/ho-so-doanh-nghiep.htm,https://finance.vietstock.vn/S4A/tai-chinh.htm?tab=BCTT
EVE,HOSE,CTCP Everpia,Everpia JSC,STOCK,573.0,Everpia,Tiêu dùng không thiết yếu,Thời trang và hàng lâu bền,Thời trang và dệt may,Consumer Discretionary,Consumer Durables & Apparel,"Textiles, Apparel & Luxury Goods",41979773,EXPANDED,https://finance.vietstock.vn/EVE/ho-so-doanh-nghiep.htm,https://finance.vietstock.vn/EVE/tai-chinh.htm?tab=BCTT
TTL,HNX,Tổng Công ty Thăng Long - CTCP,Thang Long Joint Stock Corporation,STOCK,574.0,Thăng Long - CTCP,Công nghiệp,Hàng hóa công nghiệp,Kỹ thuật xây dựng,Industrials,Capital Goods,Construction & Engineering,41908000,EXPANDED,https://finance.vietstock.vn/TTL/ho-so-doanh-nghiep.htm,https://finance.vietstock.vn/TTL/tai-chinh.htm?tab=BCTT
VFG,HOSE,CTCP Khử trùng Việt Nam,Viet Nam Fumigation Joint Stock Company,STOCK,575.0,Khử trùng Việt Nam,Nguyên vật liệu,Nguyên vật liệu,Hóa chất,Materials,Materials,Chemicals,41714614,EXPANDED,https://finance.vietstock.vn/VFG/ho-so-doanh-nghiep.htm,https://finance.vietstock.vn/VFG/tai-chinh.htm?tab=BCTT
TRA,HOSE,CTCP Traphaco,Traphaco Joint Stock Company,STOCK,576.0,Traphaco,Chăm sóc sức khỏe,"Dược phẩm, công nghệ sinh học và khoa học sự sống",Dược phẩm,Health Care,"Pharma., Bio. & Life Sciences",Pharmaceuticals,41453673,EXPANDED,https://finance.vietstock.vn/TRA/ho-so-doanh-nghiep.htm,https://finance.vietstock.vn/TRA/tai-chinh.htm?tab=BCTT
IDV,HNX,CTCP Phát triển Hạ tầng Vĩnh Phúc,Vinh Phuc Infrastructure Development JSC,STOCK,577.0,Phát triển Hạ tầng Vĩnh Phúc,Bất động sản,Bất động sản,Quản lý và phát triển bất động sản,Real Estate,Real Estate,Real Estate Management & Development,41236777,EXPANDED,https://finance.vietstock.vn/IDV/ho-so-doanh-nghiep.htm,https://finance.vietstock.vn/IDV/tai-chinh.htm?tab=BCTT
CSC,HNX,CTCP Tập đoàn COTANA,COTANA Group JSC,STOCK,578.0,COTANA,Bất động sản,Bất động sản,Quản lý và phát triển bất động sản,Real Estate,Real Estate,Real Estate Management & Development,41149264,EXPANDED,https://finance.vietstock.vn/CSC/ho-so-doanh-nghiep.htm,https://finance.vietstock.vn/CSC/tai-chinh.htm?tab=BCTT
VID,HOSE,CTCP Đầu tư Phát triển Thương mại Viễn Đông,Vien Dong Investment Development Trading Corporation,STOCK,579.0,Đầu tư Phát triển Thương mại Viễn Đông,Nguyên vật liệu,Nguyên vật liệu,Gỗ và giấy,Materials,Materials,Paper & Forest Products,40836069,EXPANDED,https://finance.vietstock.vn/VID/ho-so-doanh-nghiep.htm,https://finance.vietstock.vn/VID/tai-chinh.htm?tab=BCTT
NED,UPCOM,CTCP Đầu tư và Phát triển Điện Tây Bắc,North - West Electric Investment and Development JSC,STOCK,580.0,Đầu tư và Phát triển Điện Tây Bắc,Tiện ích,Tiện ích,Phát điện độc lập và điện tái tạo,Utilities,Utilities,Independent Power and Renewable Electricity Producers,40500000,EXPANDED,https://finance.vietstock.vn/NED/ho-so-doanh-nghiep.htm,https://finance.vietstock.vn/NED/tai-chinh.htm?tab=BCTT
TSA,UPCOM,CTCP Đầu tư và Xây lắp Trường Sơn,Truong Son Investment And Construction Joint Stock Company,STOCK,581.0,Đầu tư và Xây lắp Trường Sơn,Công nghiệp,Hàng hóa công nghiệp,Kỹ thuật xây dựng,Industrials,Capital Goods,Construction & Engineering,40424994,EXPANDED,https://finance.vietstock.vn/TSA/ho-so-doanh-nghiep.htm,https://finance.vietstock.vn/TSA/tai-chinh.htm?tab=BCTT
CCC,HOSE,CTCP Xây dựng CDC,CDC Construction Joint Stock Company,STOCK,582.0,Xây dựng CDC,Công nghiệp,Hàng hóa công nghiệp,Kỹ thuật xây dựng,Industrials,Capital Goods,Construction & Engineering,40250000,EXPANDED,https://finance.vietstock.vn/CCC/ho-so-doanh-nghiep.htm,https://finance.vietstock.vn/CCC/tai-chinh.htm?tab=BCTT
DVP,HOSE,CTCP Đầu tư và Phát triển Cảng Đình Vũ,Dinh Vu Port Investment and Development JSC,STOCK,583.0,Đầu tư và Phát triển Cảng Đình Vũ,Công nghiệp,Vận tải,Hạ tầng giao thông,Industrials,Transportation,Transportation Infrastructure,40000000,EXPANDED,https://finance.vietstock.vn/DVP/ho-so-doanh-nghiep.htm,https://finance.vietstock.vn/DVP/tai-chinh.htm?tab=BCTT
LBM,HOSE,CTCP Khoáng sản và Vật liệu Xây dựng Lâm Đồng,Lam Dong Minerals & Building Materials Joint Stock Company,STOCK,584.0,Khoáng sản và Vật liệu Xây dựng Lâm Đồng,Nguyên vật liệu,Nguyên vật liệu,Vật liệu xây dựng,Materials,Materials,Construction Materials,40000000,EXPANDED,https://finance.vietstock.vn/LBM/ho-so-doanh-nghiep.htm,https://finance.vietstock.vn/LBM/tai-chinh.htm?tab=BCTT
POS,UPCOM,CTCP Vận hành và Xây lắp PTSC,PTSC Offshore Services Joint Stock Company,STOCK,585.0,Vận hành và Xây lắp PTSC,Năng lượng,Năng lượng,Thiết bị và dịch vụ năng lượng,Energy,Energy,Energy Equipment & Services,40000000,EXPANDED,https://finance.vietstock.vn/POS/ho-so-doanh-nghiep.htm,https://finance.vietstock.vn/POS/tai-chinh.htm?tab=BCTT
PSN,UPCOM,CTCP Dịch Vụ Kỹ Thuật PTSC Thanh Hóa,PTSC Thanh Hoa Technical Services Company,STOCK,586.0,Dịch Vụ Kỹ Thuật PTSC Thanh Hóa,Công nghiệp,Vận tải,Hạ tầng giao thông,Industrials,Transportation,Transportation Infrastructure,40000000,EXPANDED,https://finance.vietstock.vn/PSN/ho-so-doanh-nghiep.htm,https://finance.vietstock.vn/PSN/tai-chinh.htm?tab=BCTT
PSP,UPCOM,CTCP Cảng Dịch vụ Dầu khí Đình Vũ,Dinh Vu Petroleum Service Port SJC,STOCK,587.0,Cảng Dịch vụ Dầu khí Đình Vũ,Công nghiệp,Vận tải,Hạ tầng giao thông,Industrials,Transportation,Transportation Infrastructure,40000000,EXPANDED,https://finance.vietstock.vn/PSP/ho-so-doanh-nghiep.htm,https://finance.vietstock.vn/PSP/tai-chinh.htm?tab=BCTT
PVG,HNX,CTCP Kinh doanh LPG Việt Nam,Petro VietNam LPG Joint Stock Company,STOCK,588.0,Kinh doanh LPG Việt Nam,Tiện ích,Tiện ích,Gas sinh hoạt,Utilities,Utilities,Gas Utilities,39998522,EXPANDED,https://finance.vietstock.vn/PVG/ho-so-doanh-nghiep.htm,https://finance.vietstock.vn/PVG/tai-chinh.htm?tab=BCTT
NTB,UPCOM,CTCP Đầu tư Xây dựng và Khai thác Công trình Giao thông 584,Transport Engineering Construction & Business Investment JSC 584,STOCK,589.0,Đầu tư Xây dựng và Khai thác Công trình Giao thông 584,Công nghiệp,Hàng hóa công nghiệp,Kỹ thuật xây dựng,Industrials,Capital Goods,Construction & Engineering,39779577,EXPANDED,https://finance.vietstock.vn/NTB/ho-so-doanh-nghiep.htm,https://finance.vietstock.vn/NTB/tai-chinh.htm?tab=BCTT
SSN,UPCOM,CTCP Xuất nhập khẩu Thủy sản Sài Gòn,Saigon SeaProducts Import - Export JSC,STOCK,590.0,Xuất nhập khẩu Thủy sản Sài Gòn,Bất động sản,Bất động sản,Bất động sản đa dạng,Real Estate,Real Estate,Diversified Real Estate Activities,39600000,EXPANDED,https://finance.vietstock.vn/SSN/ho-so-doanh-nghiep.htm,https://finance.vietstock.vn/SSN/tai-chinh.htm?tab=BCTT
PVM,UPCOM,CTCP Máy - Thiết bị Dầu khí,PetroVietNam Machinery - Technology JSC,STOCK,591.0,Máy - Thiết bị Dầu khí,Công nghiệp,Hàng hóa công nghiệp,Máy móc công nghiệp,Industrials,Capital Goods,Machinery,38638600,EXPANDED,https://finance.vietstock.vn/PVM/ho-so-doanh-nghiep.htm,https://finance.vietstock.vn/PVM/tai-chinh.htm?tab=BCTT
FDC,HOSE,CTCP Ngoại thương và Phát triển Đầu tư Thành phố Hồ Chí Minh,Foreign Trade Development & Investment Corporation of HCMC,STOCK,592.0,Ngoại thương và Phát triển Đầu tư Thành phố Hồ Chí Minh,Bất động sản,Bất động sản,Quản lý và phát triển bất động sản,Real Estate,Real Estate,Real Estate Management & Development,38629988,EXPANDED,https://finance.vietstock.vn/FDC/ho-so-doanh-nghiep.htm,https://finance.vietstock.vn/FDC/tai-chinh.htm?tab=BCTT
NAG,HNX,CTCP Tập đoàn Nagakawa,Nagakawa Group Joint Stock Company,STOCK,593.0,Nagakawa,Tiêu dùng không thiết yếu,Thời trang và hàng lâu bền,Hàng tiêu dùng lâu bền,Consumer Discretionary,Consumer Durables & Apparel,Household Durables,38620235,EXPANDED,https://finance.vietstock.vn/NAG/ho-so-doanh-nghiep.htm,https://finance.vietstock.vn/NAG/tai-chinh.htm?tab=BCTT
BDT,UPCOM,CTCP Xây lắp và Vật liệu Xây dựng Đồng Tháp,Dong Thap Building Materials & Contruction Joint Stock Company,STOCK,594.0,Xây lắp và Vật liệu Xây dựng Đồng Tháp,Nguyên vật liệu,Nguyên vật liệu,Vật liệu xây dựng,Materials,Materials,Construction Materials,38600000,EXPANDED,https://finance.vietstock.vn/BDT/ho-so-doanh-nghiep.htm,https://finance.vietstock.vn/BDT/tai-chinh.htm?tab=BCTT
